Name,Organization,Location,Gender,Race
Vladislav Mladenov,"(Ruhr University Bochum, Chair for Network and Data Security)",,male,W_NL
Christian Mainka,"(Ruhr University Bochum, Chair for Network and Data Security)",,male,W_NL
Karsten Meyer zu Selhausen,(Hackmanit GmbH),,male,W_NL
Martin Grothe,"(Ruhr University Bochum, Chair for Network and Data Security)",,male,W_NL
Jörg Schwenk,"(Ruhr University Bochum, Chair for Network and Data Security)",,male,W_NL
Russell W. F. Lai,(Friedrich Alexander University Erlangen-Nuremberg),,male,W_NL
Viktoria Ronge,(Friedrich Alexander University Erlangen-Nuremberg),,female,HL
Tim Ruffing,(Blockstream),,male,W_NL
Dominique Schröder,(Friedrich Alexander University Erlangen-Nuremberg),,female,W_NL
Sri Aravinda Krishnan Thyagarajan,(Friedrich Alexander University Erlangen-Nuremberg),,male,A
Jiafan Wang,(Chinese University of Hong Kong),,male,A
José Bacelar Almeida,(University of Minho and INESC TEC),,male,HL
Manuel Barbosa,(University of Porto (FCUP) and INESC TEC),,male,HL
Gilles Barthe,(MPI-SP and IMDEA Software Institute),,male,B_NL
Matthew Campagna,(Amazon Web Services),,male,W_NL
Ernie Cohen,(Amazon Web Services),,male,W_NL
Benjamin Gregoire,(INRIA Sophia Antipolis),,male,W_NL
Vitor Pereira,(University of Porto (FCUP) and INESC TEC),,male,HL
Bernardo Portela,(University of Porto (FCUP) and INESC TEC),,male,HL
Pierre-Yves Strub,(École Polytechnique),,male,W_NL
Serdar Tasiran,(Amazon Web Services),,male,A
Carlos Cotrini,(ETH Zurich),,male,HL
Luca Corinzia,(ETH Zurich),,male,HL
Thilo Weghorn,(ETH Zurich),,male,A
David Basin,(ETH Zurich),,male,W_NL
Hooman Mohajeri Moghaddam,(Princeton University),,male,A
Gunes Acar,(Princeton University),,male,A
Arunesh Mathur,(Princeton University),,male,A
Danny Y. Huang,(Princeton University),,male,A
Ben Burgess,(Princeton University),,male,W_NL
Nick Feamster,(Princeton University),,male,B_NL
Edward Felten,(Princeton University),,male,W_NL
Prateek Mittal,(Princeton University),,male,A
Arvind Narayanan,(Princeton University),,male,A
Jens Müller,(Ruhr University Bochum),,male,W_NL
Fabian Ising,(Münster University of Applied Sciences),,male,A
Vladislav Mladenov,(Ruhr University Bochum),,male,W_NL
Christian Mainka,(Ruhr University Bochum),,male,W_NL
Sebastian Schinzel,(Münster University of Applied Sciences),,male,W_NL
Jörg Schwenk,(Ruhr University Bochum),,male,W_NL
Georg Fuchsbauer,(Inria and Ecole normale superieure),,male,W_NL
Sarvar Patel,(Google),,male,A
Giuseppe Persiano,(Universita’ di Salerno and Google),,male,HL
Kevin Yeo,(Google),,male,A
Moti Yung,(Google),,male,A
Chengcheng Xiang,(University of California San Diego),,female,A
Yudong Wu,(University of California San Diego),,male,A
Bingyu Shen,(University of California San Diego),,male,A
Mingyao Shen,(University of California San Diego),,female,A
Tianyin Xu,(University of Illinois Urbana-Champaign),,male,A
Yuanyuan Zhou,(University of California San Diego),,male,A
Cindy Moore,(University of California San Diego),,female,W_NL
Xinxin Jin,"(Whova, Inc.)",,female,A
Tianwei Sheng,"(Whova, Inc.)",,male,A
Ben Weinshel,(University of Chicago),,male,W_NL
Miranda Wei,(University of Chicago),,female,A
Mainack Mondal,(IIT Kharagpur / University of Chicago),,male,A
Euirim Choi,(University of Chicago),,male,A
Shawn Shan,(University of Chicago),,male,A
Claire Dolin,(University of Chicago),,female,W_NL
Michelle L. Mazurek,(University of Maryland),,female,W_NL
Blase Ur,(University of Chicago),,male,W_NL
Daniel Gruss,(Graz University of Technology),,male,W_NL
Erik Kraft,(Graz University of Technology),,male,W_NL
Trishita Tiwari,(Boston University),,female,A
Michael Schwarz,(Graz University of Technology),,male,W_NL
Ari Trachtenberg,(Boston University),,male,A
Jason Hennessey,(NetApp),,male,W_NL
Alex Ionescu,(CrowdStrike),,male,A
Anders Fogh,(Intel Corporation),,male,W_NL
Ziqi Yang,(National University of Singapore),,female,A
Jiyi Zhang,(National University of Singapore),,female,A
Ee-Chien Chang,(National University of Singapore),,female,A
Zhenkai Liang,(National University of Singapore),,male,A
Elette Boyle,(IDC Herzliya),,female,W_NL
Geoffroy Couteau,(Karlsruhe Institute of Technology),,male,W_NL
Niv Gilboa,(Ben-Gurion University of the Negev),,male,A
Yuval Ishai,(Technion),,male,A
Lisa Kohl,(Karlsruhe Institute of Technology),,female,W_NL
Peter Rindal,(Visa Research),,male,W_NL
Peter Scholl,(Aarhus University),,male,W_NL
Zichen Gui,(University of Bristol),,male,A
Oliver Johnson,(University of Bristol),,male,B_NL
Bogdan Warinschi,(University of Bristol),,male,W_NL
Henry Birge-Lee,(Princeton University),,male,B_NL
Liang Wang,(Princeton University),,male,A
Jennifer Rexford,(Princeton University),,female,W_NL
Prateek Mittal,(Princeton University),,male,A
Keegan Ryan,(NCC Group),,male,W_NL
Liwei Song,(Princeton University),,female,A
Reza Shokri,(National University of Singapore (NUS)),,male,A
Prateek Mittal,(Princeton University),,male,A
Peter Rindal,(Visa Research),,male,W_NL
Daniel Masny,(Visa Research),,male,W_NL
Stanislaw Jarecki,"(University of California, Irvine)",,male,W_NL
Hugo Krawczyk,(Algorand Foundation),,male,HL
Jason Resch,(Independent),,male,W_NL
H.L.J. Bijmans,(Delft University of Technology),,male,W_NL
T.M. Booij,(Delft University of Technology),,male,A
C. Doerr,(Delft University of Technology),,male,W_NL
Pengfei Qiu,"(Research Institute of Information Technology & BNRist, Tsinghua University, Beijing, China)",,male,A
Yongqiang Lyu,"(Research Institute of Information Technology & BNRist, Tsinghua University, Beijing, China)",,male,A
