Name,Organization,Location
Timothy Trippel,(University of Michigan),
Ofir Weisse,(University of Michigan),
Wenyuan Xu,(University of South Carolina),
Peter Honeyman,(University of Michigan),
Kevin Fu,(University of Michigan),
Florian Tramèr,(EPFL),
Fan Zhang,(Cornell),
Huang Lin,(EPFL),
Jean-Pierre Hubaux,(EPFL),
Ari Juels,(Cornell Tech),
Elaine Shi,(Cornell),
Daniel Arp,(Technische Universität Braunschweig),
Erwin Quiring,(Technische Universität Braunschweig),
Christian Wressnegger,(Technische Universität Braunschweig),
Konrad Rieck,(Technische Universität Braunschweig),
Karthikeyan Bhargavan,(Inria de Paris),
Ioana Boureanu Carlson,(Imperial College London),
Pierre-Alain Fouque,(Université de Rennes 1/IRISA),
Cristina Onete,(INSA/IRISA Rennes),
Benjamin Richard,(Orange/ IRISA Rennes),
Marc Fischlin,"(Technische Universität Darmstadt, Germany)",
Felix Günther,"(Technische Universität Darmstadt, Germany)",
Michael Backes,"(CISPA, Saarland University &amp; MPI-SWS)",
Jannik Dreier,(INRIA),
Steve Kremer,(INRIA),
Robert Kuennemann,"(CISPA, Saarland University)",
David Basin,(ETH Zurich),
Joseph Lallemand,"(ENS Cachan, Université Paris-Saclay)",
Christoph Sprenger,(ETH Zurich),
Giuseppe Ateniese,(Stevens Institute of Technology),
Bernardo Magri,(Sapienza University of Rome),
Daniele Venturi,(University of Trento),
Ewerton Andrade,(University of São Paulo),
Angelo Massimo Perillo,"(Università di Salerno, Italy)",
Giuseppe Persiano,"(Università di Salerno, Italy)",
Alberto Trombetta,"(Università dell'Insubria, Italy)",
Joel Alwen,(IST Austria),
Jeremiah Blocki,(Purdue University),
Jonathan Katz,(University of Maryland),
Charalampos Papamanthou,(University of Maryland),
Yupeng Zhang,(University of Maryland),
Dennis Andriesse,(Vrije Universiteit Amsterdam),
Asia Slowinska,"(Lastline, Inc.)",
Herbert Bos,(Vrije Universiteit Amsterdam),
Yunhan Jack Jia,(University of Michigan),
Qi Alfred Chen,(University of Michigan),
Yikai Lin,(University of Michigan),
Chao Kong,(University of Michigan),
Z. Morley Mao,(University of Michigan),
Michael Backes,"(CISPA, Saarland University &amp; MPI-SWS)",
Mohammad Nauman,(MPI-SWS),
Mordechai Guri,(Ben-Gurion University of the Negev),
Yisroel Mirsky,(Ben-Gurion University of the Negev),
Yuval Elovici,(Ben-Gurion University of the Negev),
Dan Boneh,(Stanford University),
Merve Sahin,(Eurecom),
Aurélien Francillon,(Eurecom),
Payas Gupta,(New York University Abu Dhabi),
Mustaque Ahamad,(Georgia Institute of Technology),
Christian Mainka,(Horst Görtz Institute for IT-Security),
Vladislav Mladenov,(Horst Görtz Institute for IT-Security),
Tobias Wich,(ecsec GmbH),
Jörg Schwenk,(Horst Görtz Institute for IT-Security),
Jan Camenisch,(IBM Research - Zurich),
Anja Lehmann,(IBM Research - Zurich),
Michael Goodrich,(University of California - Irvine),
Evgenios Kornaropoulos,(Brown University),
Michael Mitzenmacher,(Harvard University),
Roberto Tamassia,(Brown University),
Foteini Baldimtsi,(Boston University),
Jan Camenisch,(IBM Zurich),
Maria Dubovitskaya,(IBM Zurich),
Anna Lysyanskaya,(Brown University),
Leo Reyzin,(Boston University),
Kai Samelin,(IBM Zurich),
Sophia Yakoubov,(Boston University),
Georg Merzdovnik,(SBA Research),
Markus Huber,(Fachhochschule St. Pölten),
Damjan Buhov,(SBA Research),
Nick Nikiforakis,(Stony Brook University),
Sebastian Neuner,(SBA Research),
Martin Schmiedecker,(SBA Research),
Edgar Weippl,(SBA Research),
Michael Backes,"(CISPA, Saarland University &amp; MPI-SWS)",
Konrad Rieck,(TU Braunschweig),
