Name,Organization,Location,Gender,Race
Sunny Consolvo,(Google),,female,A
Laurent Simon,(Cambridge University),,male,W_NL
David Chisnall,(Cambridge University),,male,W_NL
Ross Anderson,(Cambridge University),,male,B_NL
Toby Murray,"(University of Melbourne, Data61)",,male,B_NL
Robert Sison,"(CSE, UNSW, Data61)",,male,A
Kai Engelhardt,"(CSE, UNSW, Data61)",,male,A
Carlos Cotrini,(ETH Zürich),,male,HL
Thilo Weghorn,(ETH Zürich),,male,A
David Basin,(ETH Zürich),,male,W_NL
Anupama Aggarwal,"(IIIT - Delhi, India)",,female,A
Saravana Kumar,"(CEG, Guindy, India)",,male,A
Bimal Viswanath,(UC Santa Barbara),,male,A
Liang Zhang,(Northeastern University),,male,A
Ayush Shah,"(IIIT - Delhi, India)",,male,A
Ponnurangam Kumaraguru,"(IIIT - Delhi, India)",,male,A
Pascal Berrang,"(CISPA, Saarland University)",,male,A
Mathias Humbert,"(Swiss Data Science Center, ETH/EPFL)",,male,W_NL
Yang Zhang,"(CISPA, Saarland University)",,male,A
Irina Lehmann,"(Helmholtz Centre for Environmental Research Leipzig, UFZ, Leipzig)",,female,W_NL
Roland Eils &amp; University of Heidelberg),,,,
Michael Backes,"(CISPA, Saarland University)",,male,W_NL
Patrick Speicher,"(CISPA, Saarland University)",,male,W_NL
Marcel Steinmetz,"(CISPA, Saarland University)",,male,W_NL
Robert Künnemann,"(CISPA, Saarland University)",,male,W_NL
Milivoj Simeonovski,"(CISPA, Saarland University)",,male,A
Giancarlo Pellegrino,"(CISPA, Saarland University)",,male,HL
Jörg Hoffmann,"(CISPA, Saarland University)",,male,W_NL
Michael Backes,"(CISPA, Saarland University)",,male,W_NL
Chiara Bodei,(Università di Pisa),,female,W_NL
Pierpaolo Degano,(Università di Pisa),,male,HL
Riccardo Focardi,(Università Ca Foscari Venezia),,male,HL
Letterio Galletta,(Università di Pisa),,male,HL
Mauro Tempesta,(Università Ca Foscari Venezia),,male,HL
Lorenzo Veronese,(Università Ca Foscari Venezia),,male,HL
