Name,Organization,Location,Gender,Race
Zhou Li,(RSA Laboratories),,male,A
Sumayah Alrwais,(Indiana University Bloomington),,female,A
XiaoFeng Wang,(Indiana University Bloomington),,male,A
Eihal Alowaisheq,(Indiana University Bloomington),,female,A
Sangho Lee,(POSTECH),,male,A
Youngsok Kim,(POSTECH),,male,A
Jangwoo Kim,(POSTECH),,female,A
Jong Kim,(POSTECH),,male,A
Yuan Tian,(Carnegie Mellon University),,male,A
Ying-Chuan Liu,(Carnegie Mellon University),,male,A
Amar Bhosale,(Carnegie Mellon University),,male,A
Lin-Shung Huang,(Carnegie Mellon University),,female,A
Patrick Tague,(Carnegie Mellon University),,male,W_NL
Collin Jackson,(Carnegie Mellon University),,male,W_NL
Mike Bond,(University of Cambridge),,male,B_NL
Omar Choudary,(University of Cambridge),,male,A
Steven J. Murdoch,(University of Cambridge),,male,W_NL
Sergei Skorobogatov,(University of Cambridge),,male,W_NL
Ross Anderson,(University of Cambridge),,male,B_NL
Jinjin Liang,"(Department of Computer Science, Technology, Tsinghua University)",,male,A
Jian Jiang,"(Department of Computer Science, Technology, Tsinghua University)",,male,A
Haixin Duan,"(Institute for Network Science, Cyberspace, Tsinghua University)",,male,A
Kang Li,"(Department of Computer Science, University of Georgia)",,female,A
Tao Wan,(Huawei Canada),,male,A
Jianping Wu,"(Department of Computer Science, Technology, Tsinghua University)",,male,A
Lin-Shung Huang,(Carnegie Mellon University),,female,A
Alex Rice,(Facebook),,male,B_NL
Erling Ellingsen,(Facebook),,male,A
Collin Jackson,(Carnegie Mellon University),,male,W_NL
Karthikeyan Bhargavan,(INRIA Paris-Rocquencourt),,male,A
Antoine Delignat-Lavaud,(INRIA Paris-Rocquencourt),,male,B_NL
Cédric Fournet,(Microsoft Research),,male,B_NL
Alfredo Pironti,(INRIA Paris-Rocquencourt),,male,HL
Pierre-Yves Strub,(IMDEA Software Institute),,male,W_NL
Chad Brubaker,(University of Texas at Austin),,male,W_NL
Suman Jana,(University of Texas at Austin),,female,A
Baishakhi Ray,(University Of California Davis),,female,A
Sarfraz Khurshid,(University of Texas at Austin),,male,A
Vitaly Shmatikov,(University of Texas at Austin),,male,W_NL
Aaron Blankstein,(Princeton University),,male,W_NL
Michael J. Freedman,(Princeton University),,male,W_NL
Collin Mulliner,(Northeastern University),,male,W_NL
William Robertson,(Northeastern University),,male,W_NL
Engin Kirda,(Northeastern University),,male,A
Steve Kremer,(INRIA Nancy),,male,W_NL
Robert Künnemann,(TU Darmstadt),,male,W_NL
Benedikt Schmidt,"(IMDEA Software Institute, Madrid, Spain)",,male,W_NL
Ralf Sasse,"(Institute of Information Security, ETH Zürich)",,male,W_NL
Cas Cremers,(University of Oxford),,male,W_NL
David Basin,"(Institute of Information Security, ETH Zürich)",,male,W_NL
Nedim Šrndić,(University of Tuebingen),,male,W_NL
Pavel Laskov,(University of Tuebingen),,male,W_NL
Sadia Afroz,(UC Berkeley),,female,A
Aylin Caliskan-Islam,(Drexel University),,female,A
Ariel Stolerman,(Drexel University),,male,W_NL
Rachel Greenstadt,(Drexel University),,female,W_NL
Damon McCoy,(George Mason University),,male,B_NL
Andrea Bittau,(Stanford),,female,W_NL
Adam Belay,(Stanford),,male,W_NL
Ali Mashtizadeh,(Stanford),,male,A
David Mazières,(Stanford),,male,W_NL
Dan Boneh,(Stanford),,male,W_NL
Erik Bosman,(Vrije Universiteit Amsterdam),,male,W_NL
Herbert Bos,(Vrije Universiteit Amsterdam),,male,W_NL
James Mickens,(Microsoft Research),,male,B_NL
Per Larsen,(UC Irvine),,male,W_NL
Andrei Homescu,(UC Irvine),,male,A
Stefan Brunthaler,(UC Irvine),,male,W_NL
Michael Franz,(UC Irvine),,male,W_NL
John Criswell,(University of Illinois at Urbana-Champaign),,male,W_NL
Nathan Dautenhahn,(University of Illinois at Urbana-Champaign),,male,W_NL
Vikram Adve,(University of Illinois at Urbana-Champaign),,male,A
Zongwei Zhou,(Carnegie Mellon University),,male,A
Miao Yu,(Carnegie Mellon University),,female,A
Virgil Gligor,(Carnegie Mellon University),,male,W_NL
Shayak Sen,(Carnegie Mellon University),,male,A
Saikat Guha,"(Microsoft Research, India)",,male,A
Anupam Datta,(Carnegie Mellon University),,male,A
Sriram Rajamani,"(Microsoft Research, India)",,male,A
Janice Tsai,"(Microsoft Research, Redmond)",,female,A
Jeannette Wing,(Microsoft Research),,female,W_NL
Ralf Kuesters,(University of Trier),,male,W_NL
Tomasz Truderung,(University of Trier),,male,A
Andreas Vogt,(University of Applied Sciences Northwest Switzerland),,male,W_NL
Vasilis Pappas,(Columbia University),,male,W_NL
Fernando Krell,(Columbia University),,male,HL
Binh Vo,(Columbia University),,male,A
Vladimir Kolesnikov,(Bell Labs),,male,W_NL
Tal Malkin,(Columbia University),,male,W_NL
Seung Geol Choi,(United States Naval Academy),,male,A
Wesley George,(University of Toronto),,male,B_NL
Angelos Keromytis,(Columbia University),,male,W_NL
Steve Bellovin,(Columbia University),,male,W_NL
Susan Hohenberger,(Johns Hopkins University),,female,W_NL
Steven Myers,(Indiana University),,male,W_NL
Rafael Pass,(Cornell University),,male,HL
Abhi Shelat,(University of Virginia),,male,A
Luyi Xing,(Indiana University Bloomington),,female,A
Xiaorui Pan,(Indiana University Bloomington),,female,A
Rui Wang,(Microsoft Research),,male,A
Kan Yuan,(Indiana University Bloomington),,male,A
XiaoFeng Wang,(Indiana University Bloomington),,male,A
Xiaoyong Zhou,"(School of Informatics, Computing, Indiana University, Bloomington)",,male,A
Yeonjoon Lee,"(School of Informatics, Computing, Indiana University, Bloomington)",,male,A
Nan Zhang,"(School of Informatics, Computing, Indiana University, Bloomington)",,female,A
Muhammad Naveed,"(Department of Computer Science, University of Illinois at Urbana-Champaign)",,male,A
Xiaofeng Wang,"(School of Informatics, Computing, Indiana University, Bloomington)",,male,A
Byoungyoung Lee,(Georgia Institute of Technology),,female,A
Long Lu,(Stony Brook University),,male,A
Tielei Wang,(Georgia Institute of Technology),,male,A
Taesoo Kim,(Massachusetts Institute of Technology),,female,A
Wenke Lee,(Georgia Institute of Technology),,female,A
Marcin Andrychowicz,"(University of Warsaw, Sapienza University of Rome) , Daniel Malinowski, Łukasz Mazurek (University of Warsaw)",,male,W_NL
Stefan Dziembowski,"(University of Warsaw, Sapienza University of Rome) , Daniel Malinowski, Łukasz Mazurek (University of Warsaw)",,male,W_NL
Eli Ben-Sasson,(Technion),,male,W_NL
Alessandro Chiesa,(MIT),,male,HL
Christina Garman,(Johns Hopkins University),,female,W_NL
Matthew Green,(Johns Hopkins University),,male,W_NL
Ian Miers,(Johns Hopkins University),,male,W_NL
Eran Tromer,(Tel Aviv University),,male,W_NL
Madars Virza,(MIT),,male,HL
Andrew Miller,(University of Maryland),,male,W_NL
Ari Juels,(none),,male,B_NL
Elaine Shi,(University of Maryland),,female,A
Bryan Parno,(Microsoft Research),,male,B_NL
Jonathan Katz,(University of Maryland),,male,W_NL
Sai Teja Peddinti,(Polytechnic Insitute of New York University),,male,A
Aleksandra Korolova,(Google),,female,W_NL
Elie Bursztein,(Google),,male,W_NL
Geetanjali Sampemane,(Google),,female,A
José Lopes,(Faculdade de Ciências da Universidade de Lisboa),,male,HL
Nuno Neves,(Faculdade de Ciências da Universidade de Lisboa),,male,HL
Michael Rushanan,(Johns Hopkins University),,male,W_NL
Colleen Swanson,(University of Michigan),,female,W_NL
Denis Foo Kune,(University of Michigan),,male,A
Aviel D. Rubin,(Johns Hopkins University),,male,W_NL
Piotr Mardziel,"(University of Maryland, College Park)",,male,W_NL
Mario Alvim,(University of Pennsylvania),,male,HL
Michael Hicks,"(University of Maryland, College Park)",,male,W_NL
Michael Clarkson,(George Washington University),,male,W_NL
Adam Everspaugh,(University of Wisconsin),,male,W_NL
Yan Zhai,(University of Wisconsin),,male,A
Robert Jellinek,(University of Wisconsin),,male,W_NL
Thomas Ristenpart,(University of Wisconsin),,male,W_NL
Michael Swift,(University of Wisconsin),,male,W_NL
Enes Göktaş,(Vrije Universiteit Amsterdam),,male,HL
Elias Athanasopoulos,(Columbia University),,male,HL
Herbert Bos,(Vrije Universiteit Amsterdam),,male,W_NL
Georgios Portokalidis,(Stevens Institute of Technology),,male,W_NL
Fabian Yamaguchi,(University of Goettingen),,male,A
Nico Golde,(Qualcomm Research Germany),,male,W_NL
Daniel Arp,(University of Goettingen),,male,W_NL
Konrad Rieck,(University of Goettingen),,male,W_NL
Bhushan Jain,(Stony Brook University),,male,A
Mirza Basim Baig,(Stony Brook University),,male,A
Dongli Zhang,(Stony Brook University),,female,A
Donald E. Porter,(Stony Brook University),,male,W_NL
Radu Sion,(Stony Brook University),,male,A
Chang Liu,"(University of Maryland, College Park)",,male,A
Yan Huang,"(University of Maryland, College Park)",,male,A
Elaine Shi,"(University of Maryland, College Park)",,female,A
Michael Hicks,"(University of Maryland, College Park)",,male,W_NL
Jonathan Katz,"(University of Maryland, College Park)",,male,W_NL
Muhammad Naveed,(University of Illinois at Urbana-Champaign),,male,A
Manoj Prabhakaran,(University of Illinois at Urbana-Champaign),,male,A
Carl A Gunter,(University of Illinois at Urbana-Champaign),,male,W_NL
Aseem Rastogi,"(University of Maryland, College Park)",,male,A
Matthew A. Hammer,"(University of Maryland, College Park)",,male,W_NL
Michael Hicks,"(University of Maryland, College Park)",,male,W_NL
Daniel Fett,(University of Trier),,male,W_NL
Ralf Kuesters,(University of Trier),,male,W_NL
Guido Schmitz,(University of Trier),,male,HL
Jerry Ma,(Purdue University),,male,A
Weining Yang,(Purdue University),,male,A
Min Luo,(Purdue University),,male,A
Ninghui Li,(Purdue University),,male,A
Shrirang Mare,(Dartmouth College),,male,A
Andrés Molina-Markham,(Dartmouth College),,male,HL
Cory Cornelius,(Intel),,male,W_NL
Ronald Peterson,(Dartmouth College),,male,W_NL
David Kotz,(Dartmouth College),,male,W_NL
Marcin Andrychowiczek,,,male,W_NL
Stefan Dziembowskiek,,,male,W_NL
Daniel Malinowskiek,,,male,W_NL
Lukasz Mazurek,,,male,W_NL
Andy Applebaumwe,,,male,A
Karl Levittwe,,,male,W_NL
Jeff Rowe,,,male,W_NL
Adam Bateser,,,male,W_NL
Kevin R. B. Butlerer,,,male,W_NL
Thomas Moyer,,,male,W_NL
Eli Ben-Sassonza,,,male,HL
Alessandro Chiesaza,,,male,HL
Eran Tromerza,,,male,A
Madars Virza,,,male,HL
Abimael Carrasquillori,,,male,HL
Albert E. Maldonadori,,,male,HL
Eric Santosri,,,male,A
José Ortiz-Ubarri,,,male,HL
Euijin Choohi,,,female,A
Ting Yuhi,,,female,A
Min Chi,,,male,A
Anupam Dasov,,,male,A
Nikita Borisov,,,male,A
Anahita Davoudi,,,female,A
Tamara Denningno,,,female,W_NL
Batya Friedmanno,,,female,A
Tadayoshi Kohno,,,male,A
Naga Sushma Devarapalli,,,female,A
Stefan Dziembowskiak,,,male,W_NL
Sebastian Faustak,,,male,HL
Vladimir Kolmogorovak,,,male,A
Krzysztof Pietrzak,,,male,W_NL
Robin Gonzalezto,,,male,W_NL
Michael E. Locasto,,,male,W_NL
Sai R. GouravajhalaFu,,,male,A
Amir RahmatiFu,,,male,A
Evan ChavisFu,,,male,A
Denis Foo KuneFu,,,male,A
Peter HoneymanFu,,,male,A
Michael BaileyFu,,,male,W_NL
Kevin Fu,,,male,A
Jayaprakash Govindarajta,,,male,A
Rashmi Ainahalli Matata,,,female,A
Robin Vermata,,,male,A
Gaurav Gupta,,,male,A
Geoffroy GueguenMe,,,male,B_NL
Sébastien JosseMe,,,male,B_NL
Ludovic Me,,,male,W_NL
Yunchuan Guoos,,,male,A
Lihua Yinos,,,female,A
Liang Changos,,,male,A
Athanasios V. Vasilakos,,,male,W_NL
Ann-Marie Horcher,,,female,W_NL
Takashi Ishizukato,,,male,A
Hajime Iwatato,,,male,A
Manabu Okamoto,,,male,A
Yaoqi Jiana,,,female,A
Xinshu Dongna,,,male,A
Zhenkai Liangna,,,male,A
Prateek Saxena,,,male,A
Shouling Jiah,,,female,A
Weiqing Liah,,,female,A
Jing S. Heah,,,female,A
Mudhakar Srivatsaah,,,male,A
Raheem Beyah,,,male,B_NL
Hyun-Ju Joon,,,male,A
Ji Won Yoon,,,male,A
Daehyeok Kim,,,male,A
Max E. Kramerao,,,male,W_NL
Anton Hergenroderao,,,male,A
Martin Heckerao,,,male,HL
Simon Greinerao,,,male,A
Kaibin Bao,,,male,A
Xiaojing Liaoah,,,female,A
David Formbyah,,,male,W_NL
Carson Dayah,,,male,B_NL
Raheem A. Beyah,,,male,B_NL
Zuleika G. Lopez,,,female,HL
Jian Maong,,,male,A
Yaoqi Jiang,,,female,A
Xinshu Dongng,,,male,A
Yue Chenng,,,female,A
Ruilong Wangng,,,male,A
Zhenkai Liang,,,male,A
Piotr Mardzielon,,,male,W_NL
Mario S. Alvimon,,,male,HL
Michael Hickson,,,male,B_NL
Michael R. Clarkson,,,male,W_NL
Kartik Nayakas,,,male,A
Daniel Marinoas,,,male,HL
Petros Efstathopoulosas,,,male,HL
Tudor Dumitras,,,male,HL
Seongyeol Ohim,,,female,A
Joon-sung Yangim,,,male,A
Andrea Bianchiim,,,female,W_NL
Hyoungshick Kim,,,male,A
Marta Piekarska,,,female,HL
Wolter Pieterson,,,male,W_NL
Dina Hadziosmanovicon,,,female,HL
Aleksandr Leninon,,,male,W_NL
Lorena Montoyaon,,,female,HL
