Name,Organization,Location
Paul Kocher ,,
Jann Horn,(Google Project Zero),
Anders Fogh,(G DATA Advanced Analytics),
Daniel Genkin,"(University of Pennsylvania, University of Maryland)",
Daniel Gruss,(Graz University of Technology),
Werner Haas,(Cyberus Technology),
Mike Hamburg,"(Rambus, Cryptography Research Division)",
Moritz Lipp,(Graz University of Technology),
Stefan Mangard,(Graz University of Technology),
Thomas Prescher,(Cyberus Technology),
Michael Schwarz,(Graz University of Technology),
Yuval Yarom,"(University of Adelaide, Data61)",
Sanjeev Das,(University of North Carolina at Chapel Hill),
Jan Werner,(University of North Carolina at Chapel Hill),
Manos Antonakakis,(Georgia Institute of Technology),
Michalis Polychronakis,(Stony Brook University),
Fabian Monrose,(University of North Carolina at Chapel Hill),
Pepe Vila ,,
Boris Köpf,(Microsoft Research),
José F. Morales,(IMDEA Software Institute),
Lucian Cojocar,(Vrije Universiteit Amsterdam),
Kaveh Razavi,(Vrije Universiteit Amsterdam),
Cristiano Giuffrida,(Vrije Universiteit Amsterdam),
Herbert Bos,(Vrije Universiteit Amsterdam),
Carlo Meijer,"(Radboud University, the Netherlands)",
Bernard van Gastel,(Open University of the Netherlands),
Stephan van Schaik,(Vrije Universiteit Amsterdam),
Alyssa Milburn,(Vrije Universiteit Amsterdam),
Sebastian Österlund,(Vrije Universiteit Amsterdam),
Pietro Frigo,(Vrije Universiteit Amsterdam),
Giorgi Maisuradze,(Saarland University),
Kaveh Razavi,(Vrije Universiteit Amsterdam),
Herbert Bos,(Vrije Universiteit Amsterdam),
Cristiano Giuffrida,(Vrije Universiteit Amsterdam),
Stefan Dziembowski,(University of Warsaw),
Lisa Eckey,(TU Darmstadt),
Sebastian Faust,(TU Darmstadt),
Daniel Malinowski,(University of Warsaw),
Dominic Deuber,(Friedrich-Alexander-University Erlangen-Nurnberg),
Bernardo Magri,(Aarhus University),
Sri Aravinda Krishnan Thyagarajan,(Friedrich-Alexander-University Erlangen-Nurnberg),
Peter Gaži,(IOHK),
Aggelos Kiayias,"(University of Edinburgh, IOHK)",
Dionysis Zindros,"(University of Athens, IOHK)",
Thomas Kerber,(The University of Edinburgh &amp; IOHK),
Aggelos Kiayias,(The University of Edinburgh &amp; IOHK),
Markulf Kohlweiss,(The University of Edinburgh &amp; IOHK),
Vassilis Zikas,(The University of Edinburgh &amp; IOHK),
Ren Zhang,"(Nervos, imec-COSIC, KU Leuven)",
Bart Preneel,"(imec-COSIC, KU Leuven)",
Alexei Zamyatin,(Imperial College London),
Dominik Harz,(Imperial College London),
Joshua Lind,(Imperial College London),
Panayiotis Panayiotou,(Imperial College London),
Arthur Gervais,(Imperial College London),
William J. Knottenbelt,(Imperial College London),
Emily Stark,(Google),
Ryan Sleevi,(Google),
Rijad Muminovic,(University of Sarajevo),
Devon O'Brien,(Google),
Eran Messeri,(Google),
Adrienne Porter Felt,(Google),
Brendan McMillion,(Cloudflare),
Parisa Tabriz,(Google),
Dolière Francis Somé,"(Université Côte d'Azur/Inria, France)",
